# Time-averaged data for fix at2
# TimeStep f_mysf1[3] f_mysf2[3]
22900 12.1376 -8.83768
23000 9.06626 -13.0603
23100 11.5973 -8.50339
23200 10.3865 -10.7729
23300 14.0315 -13.3828
23400 7.40145 -12.1793
23500 10.5862 -7.45983
23600 13.862 -11.5086
23700 12.2924 -11.5007
23800 8.19855 -13.3023
23900 10.2341 -10.0675
24000 12.1982 -9.29231
24100 11.9908 -11.6135
24200 10.8772 -12.2058
24300 9.90449 -10.4749
24400 10.4807 -10.0822
24500 12.7525 -12.3546
24600 10.9872 -11.5699
24700 9.42859 -8.83089
24800 12.1128 -12.1532
24900 11.9701 -12.1984
25000 9.65793 -10.2555
25100 11.0191 -10.3513
25200 12.4656 -11.2131
25300 10.9115 -11.9427
25400 10.8118 -11.6935
25500 10.4627 -9.80436
25600 10.9082 -9.62054
25700 13.6966 -14.0928
25800 10.3881 -11.7313
25900 7.83371 -8.14813
26000 12.4742 -11.4996
26100 13.3148 -12.0588
26200 9.51038 -10.3495
26300 10.2814 -12.6197
26400 10.6753 -9.70287
26500 11.1831 -10.2554
26600 13.5421 -12.621
26700 9.43884 -10.7834
26800 8.66526 -9.04049
26900 12.8224 -13.364
27000 12.7349 -10.203
27100 8.95118 -9.53083
27200 12.1004 -12.8962
27300 10.4053 -11.3119
27400 11.2628 -10.2087
27500 11.9607 -12.3915
27600 9.44508 -9.36262
27700 10.8384 -11.4246
27800 13.4763 -12.6468
27900 10.4281 -9.83579
28000 9.86477 -9.77067
28100 10.459 -12.9136
28200 12.8749 -10.691
28300 11.7039 -10.9971
28400 10.55 -10.1862
28500 8.68836 -10.9077
28600 12.3409 -11.9399
28700 12.4152 -12.6499
28800 10.0886 -9.45204
28900 9.11555 -10.3575
29000 11.7602 -12.5854
29100 12.8941 -11.1019
29200 10.566 -8.67763
29300 10.3887 -12.5015
29400 10.7498 -12.1075
29500 11.2677 -8.74197
29600 13.2266 -11.1551
29700 9.50469 -11.0746
29800 8.6414 -11.8209
29900 14.4759 -12.5109
30000 9.8535 -9.34296
30100 9.57194 -9.27346
30200 10.9496 -14.7399
30300 12.7796 -9.9786
30400 9.46413 -8.78453
30500 12.8735 -10.8057
30600 8.11425 -13.4948
30700 11.7992 -9.28968
30800 12.8669 -12.88
30900 10.6534 -8.11187
31000 8.64375 -11.8347
31100 14.6318 -12.3771
31200 9.58278 -11.7358
31300 10.398 -9.09054
31400 9.72397 -12.8722
31500 12.6471 -9.45516
31600 11.1348 -10.962
31700 12.3663 -11.0816
31800 7.1618 -11.7018
31900 11.8207 -9.39306
32000 13.1991 -12.3061
32100 10.0496 -9.42706
32200 8.76238 -11.2801
32300 12.8561 -12.6828
32400 11.953 -10.0168
32500 9.81602 -10.0027
32600 11.0542 -13.722
32700 10.6702 -10.8512
32800 12.2711 -9.44716
32900 13.3407 -12.0452
33000 7.62061 -10.0086
33100 10.8485 -11.2998
33200 13.0751 -12.233
33300 10.4549 -9.63884
33400 9.51437 -10.3438
33500 11.7144 -12.5624
33600 10.8041 -10.1611
33700 10.4184 -10.1256
33800 12.0686 -12.6593
33900 10.0651 -10.5082
34000 10.9199 -9.5751
34100 12.3887 -13.1648
34200 10.3826 -9.67897
34300 9.87435 -10.3295
34400 12.889 -12.8722
34500 9.96149 -10.4416
34600 11.099 -9.30562
34700 12.4761 -13.0206
34800 9.62157 -9.50113
34900 10.6686 -11.8387
35000 12.123 -12.4372
35100 8.14095 -9.05793
35200 12.3356 -9.75095
35300 12.8236 -13.9032
35400 9.89647 -9.11092
35500 9.77466 -10.6416
35600 12.5954 -12.0034
35700 9.04301 -11.6616
35800 12.8507 -10.2187
35900 12.2166 -10.9401
36000 9.10498 -8.77932
36100 10.6365 -13.6336
36200 12.8402 -11.9325
36300 8.81466 -9.60164
36400 11.2108 -9.8515
36500 11.1631 -12.2434
36600 11.0983 -10.2932
36700 11.4155 -11.1028
36800 11.9801 -10.684
36900 8.12154 -11.7559
37000 11.5255 -10.9193
37100 13.1194 -10.8859
37200 10.4168 -8.92898
37300 9.4744 -12.3001
37400 12.5486 -13.1664
37500 9.27513 -9.12888
37600 10.3555 -9.69949
37700 12.9532 -13.3146
37800 9.90826 -9.93584
37900 11.4552 -9.51941
38000 12.9206 -11.7774
38100 8.3343 -10.2473
38200 8.80062 -13.2732
38300 15.1807 -11.2517
38400 9.89059 -7.48699
38500 9.89761 -10.2358
38600 11.4401 -15.8111
38700 10.5784 -9.01205
38800 10.0936 -10.406
38900 12.9532 -12.2079
39000 8.54303 -8.99464
39100 12.5311 -10.5457
39200 12.4211 -12.8072
39300 8.03668 -7.83856
39400 9.4531 -12.8966
39500 14.6236 -13.368
39600 10.0255 -7.42302
39700 10.8501 -9.7107
39800 10.4704 -14.0392
39900 10.1747 -10.0109
40000 12.0918 -12.034
40100 11.0095 -10.2968
40200 8.57597 -10.6144
40300 13.2752 -11.418
40400 11.8181 -11.3872
40500 9.67593 -7.97228
40600 10.1321 -12.1726
40700 11.9635 -12.6823
40800 9.65153 -10.4764
40900 12.4536 -9.64516
41000 10.5392 -10.3011
41100 11.2166 -11.1385
41200 9.67296 -13.6755
41300 10.9396 -9.51422
41400 10.3011 -10.6693
41500 12.4312 -10.1768
41600 11.4729 -12.7503
41700 10.5776 -10.6785
41800 9.69845 -10.2033
41900 12.3902 -11.0481
42000 10.6672 -11.1485
42100 11.1766 -10.7237
42200 11.4725 -11.4991
42300 10.3217 -8.57366
42400 10.5185 -12.5258
42500 11.5113 -12.4637
42600 9.35463 -9.63923
42700 10.9447 -10.42
42800 12.5518 -12.1052
42900 10.4403 -10.0865
43000 10.7496 -10.5154
43100 11.2672 -11.9016
43200 10.4006 -11.4957
43300 10.4407 -10.4615
43400 13.2421 -9.64533
43500 9.90851 -10.5859
43600 11.5431 -12.1039
43700 9.7044 -12.8116
43800 10.8715 -8.93424
43900 10.7501 -11.4628
44000 12.6888 -10.6732
44100 9.38646 -11.9769
44200 11.9772 -9.43435
44300 10.2321 -11.1115
44400 11.2179 -11.3553
44500 11.1322 -13.5246
44600 11.841 -8.18291
44700 9.69149 -10.0388
44800 12.2649 -11.346
44900 10.0342 -12.3407
45000 11.3844 -11.2707
45100 9.90798 -11.5451
45200 11.9718 -9.40307
45300 10.5783 -11.5975
45400 12.3041 -11.1585
45500 9.22948 -10.703
45600 10.9714 -10.4258
45700 11.203 -12.477
45800 11.3976 -9.63526
45900 10.0647 -10.163
46000 12.0208 -10.4067
46100 10.7007 -12.3179
46200 10.7296 -10.3921
46300 10.2354 -11.3317
46400 11.3316 -10.3237
46500 10.3305 -11.6779
46600 12.1721 -11.8116
46700 10.9163 -10.4896
46800 10.0524 -8.80179
46900 10.9667 -12.8402
47000 11.5153 -12.3161
47100 9.70082 -9.35879
47200 12.2515 -9.77167
47300 11.228 -10.2135
47400 10.1299 -11.8514
47500 10.6268 -12.6825
47600 9.83211 -9.13831
47700 11.2823 -9.07678
47800 11.9504 -13.008
47900 11.3055 -10.2938
48000 8.64739 -11.6504
48100 11.6958 -10.0289
48200 9.74188 -11.4776
48300 12.4734 -10.3731
48400 11.1867 -11.9945
48500 11.5046 -8.70356
48600 8.67251 -13.2517
48700 12.9902 -10.0812
48800 9.46243 -10.8302
48900 12.7437 -9.77174
49000 9.79053 -14.3022
49100 10.8642 -8.01167
49200 9.59397 -12.3653
49300 13.4476 -9.59632
49400 8.50884 -12.5292
