# Time-averaged data for fix at1
# TimeStep v_pos
45500 30.349
45600 30.349
45700 30.349
45800 30.349
45900 30.349
46000 30.349
46100 30.349
46200 30.349
46300 30.349
46400 30.349
46500 30.349
46600 30.349
46700 30.349
46800 30.349
46900 30.349
47000 30.349
47100 30.349
47200 30.349
47300 30.349
47400 30.349
47500 30.349
47600 30.349
47700 30.349
47800 30.349
47900 30.349
48000 30.349
48100 30.349
48200 30.349
48300 30.349
48400 30.349
48500 30.349
48600 30.349
48700 30.349
48800 30.349
48900 30.349
49000 30.349
49100 30.349
49200 30.349
49300 30.349
49400 30.349
49500 30.349
49600 30.349
49700 30.349
49800 30.349
49900 30.349
50000 30.349
50100 30.349
50200 30.349
50300 30.349
50400 30.349
50500 30.349
50600 30.349
50700 30.349
50800 30.349
50900 30.349
51000 30.349
51100 30.349
51200 30.349
51300 30.349
51400 30.349
51500 30.349
51600 30.349
51700 30.349
51800 30.349
51900 30.349
52000 30.349
52100 30.349
52200 30.349
52300 30.349
52400 30.349
52500 30.349
52600 30.349
52700 30.349
52800 30.349
52900 30.349
53000 30.349
53100 30.349
53200 30.349
53300 30.349
53400 30.349
53500 30.349
53600 30.349
53700 30.349
53800 30.349
53900 30.349
54000 30.349
54100 30.349
54200 30.349
54300 30.349
54400 30.349
54500 30.349
54600 30.349
54700 30.349
54800 30.349
54900 30.349
55000 30.349
55100 30.349
55200 30.349
55300 30.349
55400 30.349
55500 30.349
55600 30.349
55700 30.349
55800 30.349
55900 30.349
56000 30.349
56100 30.349
56200 30.349
56300 30.349
56400 30.349
56500 30.349
56600 30.349
56700 30.349
56800 30.349
56900 30.349
57000 30.349
57100 30.349
57200 30.349
57300 30.349
57400 30.349
57500 30.349
57600 30.349
57700 30.349
57800 30.349
57900 30.349
58000 30.349
58100 30.349
58200 30.349
58300 30.349
58400 30.349
58500 30.349
58600 30.349
58700 30.349
58800 30.349
58900 30.349
59000 30.349
59100 30.349
59200 30.349
59300 30.349
59400 30.349
59500 30.349
59600 30.349
59700 30.349
59800 30.349
59900 30.349
60000 30.349
60100 30.349
60200 30.349
60300 30.349
60400 30.349
60500 30.349
60600 30.349
60700 30.349
60800 30.349
60900 30.349
61000 30.349
61100 30.349
61200 30.349
61300 30.349
61400 30.349
61500 30.349
61600 30.349
61700 30.349
61800 30.349
61900 30.349
62000 30.349
62100 30.349
62200 30.349
62300 30.349
62400 30.349
62500 30.349
62600 30.349
62700 30.349
62800 30.349
62900 30.349
63000 30.349
63100 30.349
63200 30.349
63300 30.349
63400 30.349
63500 30.349
63600 30.349
63700 30.349
63800 30.349
63900 30.349
64000 30.349
64100 30.349
